ChuDauTu,TenDuAn,MaDuAn,TenToaNha,MaToaNha,SoTangMax,SoTrucMax
Masterise Homes,Lumiere Boulevard,LBV,Angelica,LBV A,22,13
Masterise Homes,Lumiere Boulevard,LBV,Banyan,LBV B,26,15
Masterise Homes,Lumiere Boulevard,LBV,Camellia,LBV C,26,15
Masterise Homes,Lumiere Boulevard,LBV,Daisy 1,LBV D,30,10
Masterise Homes,Lumiere Boulevard,LBV,Daisy 2,LBV D,30,12
Masterise Homes,Lumiere Boulevard,LBV,Erica 1,LBV E1,30,10
Masterise Homes,Lumiere Boulevard,LBV,Erica 2,LBV E2,30,12
Masterise Homes,Masterise Central Point,MCP,MCP A,MCP A,32,13
Masterise Homes,Masterise Central Point,MCP,MCP B,MCP B,32,13
Masterise Homes,Masterise Central Point,MCP,MCP C,MCP C,34,17
Masterise Homes,Masterise Central Point,MCP,MCP D,MCP C,34,17
Masterise Homes,Masterise Central Point,MCP,MCP E1,MCP E1,39,22
Masterise Homes,Masterise Central Point,MCP,MCP E2,MCP E2,39,22